sha,file,type,begin,end
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,182,186
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,12027,12056
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,64,65
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/QueryPlan.java,CHANGE_SIGNATURE,703,705
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/ParseContext.java,CHANGE_SIGNATURE,297,303
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java,CHANGE_SIGNATURE,70,82
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,73,74
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,337,342
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,3570,3775
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,40,41
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,49,50
